epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.55089,1.43664,3.6952,1.76578,0.78059,0.83333,0.87484,0.64472,1.42184,1.37999,1.26804,0,0,0
2,2.91868,1.04985,2.93255,1.41412,0.84415,0.75,0.87484,0.64089,1.46083,1.3987,1.28953,9.5438e-07,9.5438e-07,9.5438e-07
3,4.35933,1.28889,4.28617,1.61745,0.80167,0.75,0.8746,0.61699,1.47193,1.4278,1.2967,1.43752e-06,1.43752e-06,1.43752e-06
4,5.8294,0.98202,2.65128,1.23334,0.74992,0.75,0.87473,0.59795,1.48216,1.45128,1.29949,1.44942e-06,1.44942e-06,1.44942e-06
5,7.17933,1.4315,2.79901,1.6555,0.72893,0.75,0.87478,0.59819,1.50639,1.49187,1.30703,9.9008e-07,9.9008e-07,9.9008e-07
